Auction Location,Market
"110 W Congress St. Tucson, AZ 85701",Tucson
110 W CONGRESS - TUCSON - AZ,Tucson
1300 N MCCLINTOCK DR #B4 - CHANDLER - AZ,Phoenix
13912 W STARDUST BLVD #100 - SUN CITY W - AZ,Phoenix
1525 S HIGLEY RD #104 - GILBERT - AZ 85296,Phoenix
1661 N SWAN RD #234 - TUCSON - AZ,Tucson
1850 N CENTRAL AVE #1140 - PHOENIX - AZ,Phoenix
1850 N CENTRAL AVE #1600 -  PHOENIX - AZ,Phoenix
1850 N CENTRAL AVE #1700 - PHOENIX - AZ,Phoenix
1 E WASHINGTON ST #1900 - PHOENIX - AZ,Phoenix
"1 S CHURCH AVE #1900 - TUCSON, AZ",Tucson
2001 E CAMPBELL AVE #103 - PHOENIX - AZ,Phoenix
201 W JEFFERSON - PHOENIX - AZ,Phoenix
"201 W Jefferson St. Phoenix, AZ 85003",Phoenix
2375 E CAMELBACK RD #700 - PHOENIX - AZ,Phoenix
2415 E CAMELBACK RD #700 - PHOENIX - AZ,Phoenix
2525 E CAMELBACK RD #700 - PHOENIX - AZ,Phoenix
2650 E SOUTHERN AVE - MESA - AZ,Phoenix
2812 N NORWALK #105 - MESA - AZ,Phoenix
2 N CENTRAL AVE #2200 - PHOENIX - AZ,Phoenix
3200 N CENTRAL AVE #1600 - PHOENIX - AZ,Phoenix
"4531 N 16TH ST #122, PHOENIX, AZ",Phoenix
6263 N SCOTTSDALE RD #340-SCOTTSDALE- AZ 85250,Phoenix
"7720 N. 16th St. Suite 300 Phoenix, Arizona 85020",Phoenix
7720 N 16TH ST #300 - PHOENIX - AZ,Phoenix
8709 E MANZANITA DR #100 - SCOTTSDALE - AZ,Phoenix
971 JASON LOPEZ CIR #A - FLORENCE - AZ,Phoenix
